date,participant_id,item_code,quantity
2024-08-19,1,8,1.1
2024-08-19,1,3,3.9
2024-08-19,1,5,1.5
2024-08-19,2,4,1.3
2024-08-19,2,5,1.9
2024-08-19,2,9,1.3
2024-08-19,2,1,2.4
2024-08-19,3,6,2.7
2024-08-19,3,10,2.4
2024-08-19,3,8,1.8
2024-08-19,3,7,1.9
2024-08-18,1,5,3.8
2024-08-18,1,8,0.6
2024-08-18,1,3,0.1
2024-08-18,1,4,3.3
2024-08-18,2,2,1.5
2024-08-18,2,6,1.2
2024-08-18,2,4,1.2
2024-08-18,3,9,3.1
2024-08-18,3,2,0.3
2024-08-18,3,8,0.2
2024-08-17,1,9,2.4
2024-08-17,1,4,0.4
2024-08-17,2,4,2.4
2024-08-17,2,10,1.2
2024-08-17,2,3,3.8
2024-08-17,3,8,2.3
2024-08-17,3,9,1.6
2024-08-17,3,4,4
